TSA,new cases,one week ago,two weeks ago,30 days ago,7-day trend,14-day trend,30-day trend
A,194,127,72,122,0.521,1.687,0.591
B,619,341,95,93,0.812,5.502,5.651
C,227,118,29,31,0.922,6.813,6.343
D,106,65,23,25,0.618,3.690,3.259
E,10253,6276,2102,994,0.634,3.878,9.310
F,157,75,37,27,1.085,3.276,4.909
G,487,272,77,54,0.790,5.348,8.066
H,153,94,28,13,0.616,4.534,11.000
I,846,360,111,296,1.348,6.596,1.864
J,295,144,56,76,1.044,4.279,2.880
K,78,26,10,5,2.050,7.074,15.147
L,394,228,80,44,0.729,3.921,7.948
M,307,167,50,35,0.837,5.131,7.653
N,728,421,173,20,0.728,3.206,35.647
O,3761,2714,1109,256,0.386,2.390,13.691
P,4513,2259,654,342,0.998,5.900,12.195
Q,11019,9507,5140,620,0.159,1.144,16.768
R,1874,1651,739,109,0.135,1.536,16.149
S,88,41,7,3,1.125,12.348,24.583
T,754,266,39,15,1.831,18.412,48.346
U,680,267,45,30,1.550,14.066,21.352
V,1602,638,140,83,1.509,10.405,18.197
