TSA,new cases,one week ago,two weeks ago,30 days ago,7-day trend,14-day trend,30-day trend
A,0,2,3,5,-1.000,-1.000,-1.000
B,0,2,3,3,-0.875,-0.889,-0.895
C,0,0,1,1,-0.333,-0.800,-0.500
D,0,2,2,4,-0.818,-0.857,-0.926
E,2,10,10,13,-0.797,-0.800,-0.844
F,0,0,0,1,0.000,0.000,-0.750
G,0,1,2,2,-0.889,-0.929,-0.909
H,0,0,0,1,0.000,-0.333,-0.500
I,0,2,5,7,-0.800,-0.919,-0.942
J,0,1,2,2,-0.875,-0.917,-0.923
K,0,0,0,0,-1.000,-1.000,-1.000
L,0,1,0,1,-0.500,-0.333,-0.500
M,0,1,1,1,-0.750,-0.800,-0.750
N,0,0,0,0,nan,-1.000,-1.000
O,0,2,1,3,-0.833,-0.800,-0.900
P,1,2,3,5,-0.615,-0.750,-0.844
Q,2,5,6,5,-0.667,-0.718,-0.656
R,0,1,1,2,-0.778,-0.600,-0.867
S,0,0,0,0,-1.000,-1.000,-1.000
T,0,0,0,0,-1.000,nan,nan
U,0,1,0,0,-1.000,-1.000,-1.000
V,0,0,1,3,-0.667,-0.889,-0.944
