TSA,new cases,one week ago,two weeks ago,30 days ago,7-day trend,14-day trend,30-day trend
A,0,0,0,0,1.119,0.006,-0.466
B,0,0,0,0,0.861,1.117,1.049
C,0,0,0,0,1.310,1.642,1.894
D,0,0,0,0,0.431,1.008,1.181
E,0,0,0,0,0.509,1.483,2.307
F,0,0,0,0,-0.007,0.649,1.242
G,0,0,0,0,0.757,1.319,2.352
H,0,0,0,0,0.533,1.281,4.483
I,0,0,0,0,0.937,0.838,0.416
J,0,0,0,0,0.559,0.904,0.449
K,0,0,0,0,0.410,0.881,1.721
L,0,0,0,0,0.528,1.585,3.901
M,0,0,0,0,0.777,1.883,3.761
N,0,0,0,0,0.167,1.684,7.756
O,0,0,0,0,0.389,1.470,5.100
P,0,0,0,0,0.717,3.495,6.405
Q,0,0,0,0,0.168,0.655,8.044
R,0,0,0,0,0.166,0.840,5.194
S,0,0,0,0,1.219,3.327,5.780
T,0,0,0,0,1.487,5.487,8.554
U,0,0,0,0,1.292,4.631,5.043
V,0,0,0,0,1.408,2.390,3.994
